"season","league","team","points","prev_season_points","points_change"
"2008/2009",Poland Ekstraklasa,P. Warszawa,54,,
"2009/2010",Poland Ekstraklasa,P. Warszawa,33,54,-21
"2010/2011",Poland Ekstraklasa,P. Warszawa,44,33,11
"2011/2012",Poland Ekstraklasa,P. Warszawa,45,44,1
"2012/2013",Poland Ekstraklasa,P. Warszawa,42,45,-3
"2012/2013",Netherlands Eredivisie,PEC Zwolle,39,,
"2013/2014",Netherlands Eredivisie,PEC Zwolle,40,39,1
"2014/2015",Netherlands Eredivisie,PEC Zwolle,53,40,13
"2015/2016",Netherlands Eredivisie,PEC Zwolle,48,53,-5
"2008/2009",Netherlands Eredivisie,PSV,65,,
"2009/2010",Netherlands Eredivisie,PSV,78,65,13
"2010/2011",Netherlands Eredivisie,PSV,69,78,-9
"2011/2012",Netherlands Eredivisie,PSV,69,69,0
"2012/2013",Netherlands Eredivisie,PSV,69,69,0
"2013/2014",Netherlands Eredivisie,PSV,59,69,-10
"2014/2015",Netherlands Eredivisie,PSV,88,59,29
"2015/2016",Netherlands Eredivisie,PSV,84,88,-4
"2008/2009",Italy Serie A,Palermo,57,,
"2009/2010",Italy Serie A,Palermo,65,57,8
"2010/2011",Italy Serie A,Palermo,56,65,-9
"2011/2012",Italy Serie A,Palermo,43,56,-13
"2012/2013",Italy Serie A,Palermo,32,43,-11
"2014/2015",Italy Serie A,Palermo,49,32,17
"2015/2016",Italy Serie A,Palermo,39,49,-10
"2008/2009",France Ligue 1,Paris Saint-Germain,64,,
"2009/2010",France Ligue 1,Paris Saint-Germain,47,64,-17
"2010/2011",France Ligue 1,Paris Saint-Germain,60,47,13
"2011/2012",France Ligue 1,Paris Saint-Germain,79,60,19
"2012/2013",France Ligue 1,Paris Saint-Germain,83,79,4
"2013/2014",France Ligue 1,Paris Saint-Germain,89,83,6
"2014/2015",France Ligue 1,Paris Saint-Germain,83,89,-6
"2015/2016",France Ligue 1,Paris Saint-Germain,96,83,13
"2009/2010",Italy Serie A,Parma,52,,
"2010/2011",Italy Serie A,Parma,46,52,-6
"2011/2012",Italy Serie A,Parma,54,46,8
"2012/2013",Italy Serie A,Parma,49,54,-5
"2013/2014",Italy Serie A,Parma,58,49,9
"2014/2015",Italy Serie A,Parma,26,58,-32
"2013/2014",Scotland Premier League,Partick Thistle F.C.,38,,
"2014/2015",Scotland Premier League,Partick Thistle F.C.,46,38,8
"2015/2016",Scotland Premier League,Partick Thistle F.C.,46,46,0
"2012/2013",Italy Serie A,Pescara,22,,
"2008/2009",Poland Ekstraklasa,Piast Gliwice,33,,
"2009/2010",Poland Ekstraklasa,Piast Gliwice,27,33,-6
"2012/2013",Poland Ekstraklasa,Piast Gliwice,46,27,19
"2013/2014",Poland Ekstraklasa,Piast Gliwice,34,46,-12
"2014/2015",Poland Ekstraklasa,Piast Gliwice,39,34,5
"2015/2016",Poland Ekstraklasa,Piast Gliwice,58,39,19
"2011/2012",Poland Ekstraklasa,Podbeskidzie Bielsko-Biała,35,,
"2012/2013",Poland Ekstraklasa,Podbeskidzie Bielsko-Biała,32,35,-3
"2013/2014",Poland Ekstraklasa,Podbeskidzie Bielsko-Biała,31,32,-1
"2014/2015",Poland Ekstraklasa,Podbeskidzie Bielsko-Biała,39,31,8
"2015/2016",Poland Ekstraklasa,Podbeskidzie Bielsko-Biała,38,39,-1
"2012/2013",Poland Ekstraklasa,Pogoń Szczecin,35,,
"2013/2014",Poland Ekstraklasa,Pogoń Szczecin,47,35,12
"2014/2015",Poland Ekstraklasa,Pogoń Szczecin,41,47,-6
"2015/2016",Poland Ekstraklasa,Pogoń Szczecin,46,41,5
"2008/2009",Poland Ekstraklasa,Polonia Bytom,29,,
"2008/2009",Poland Ekstraklasa,Polonia Bytom,35,29,6
"2009/2010",Poland Ekstraklasa,Polonia Bytom,37,35,2
"2010/2011",Poland Ekstraklasa,Polonia Bytom,45,37,8
"2010/2011",Poland Ekstraklasa,Polonia Bytom,27,45,-18
"2011/2012",Poland Ekstraklasa,Polonia Bytom,42,27,15
"2012/2013",Poland Ekstraklasa,Polonia Bytom,43,42,1
"2013/2014",Poland Ekstraklasa,Polonia Bytom,42,43,-1
"2014/2015",Poland Ekstraklasa,Polonia Bytom,43,42,1
"2015/2016",Poland Ekstraklasa,Polonia Bytom,26,43,-17
"2010/2011",Portugal Liga ZON Sagres,Portimonense,25,,
"2008/2009",England Premier League,Portsmouth,41,,
"2009/2010",England Premier League,Portsmouth,28,41,-13
"2011/2012",England Premier League,Queens Park Rangers,37,,
"2012/2013",England Premier League,Queens Park Rangers,25,37,-12
"2014/2015",England Premier League,Queens Park Rangers,30,25,5
"2008/2009",Belgium Jupiler League,RAEC Mons,19,,
"2011/2012",Belgium Jupiler League,RAEC Mons,36,19,17
"2012/2013",Belgium Jupiler League,RAEC Mons,44,36,8
"2012/2013",Spain LIGA BBVA,RC Celta de Vigo,37,,
"2013/2014",Spain LIGA BBVA,RC Celta de Vigo,49,37,12
"2014/2015",Spain LIGA BBVA,RC Celta de Vigo,51,49,2
"2015/2016",Spain LIGA BBVA,RC Celta de Vigo,60,51,9
"2008/2009",Spain LIGA BBVA,RC Deportivo de La Coruña,58,,
"2009/2010",Spain LIGA BBVA,RC Deportivo de La Coruña,47,58,-11
"2010/2011",Spain LIGA BBVA,RC Deportivo de La Coruña,43,47,-4
"2012/2013",Spain LIGA BBVA,RC Deportivo de La Coruña,35,43,-8
"2014/2015",Spain LIGA BBVA,RC Deportivo de La Coruña,35,35,0
"2015/2016",Spain LIGA BBVA,RC Deportivo de La Coruña,42,35,7
"2009/2010",France Ligue 1,RC Lens,48,,
"2010/2011",France Ligue 1,RC Lens,35,48,-13
"2014/2015",France Ligue 1,RC Lens,29,35,-6
"2008/2009",Spain LIGA BBVA,RC Recreativo,33,,
"2008/2009",Spain LIGA BBVA,RCD Espanyol,47,,
"2009/2010",Spain LIGA BBVA,RCD Espanyol,44,47,-3
"2010/2011",Spain LIGA BBVA,RCD Espanyol,49,44,5
"2011/2012",Spain LIGA BBVA,RCD Espanyol,46,49,-3
"2012/2013",Spain LIGA BBVA,RCD Espanyol,44,46,-2
"2013/2014",Spain LIGA BBVA,RCD Espanyol,42,44,-2
"2014/2015",Spain LIGA BBVA,RCD Espanyol,49,42,7
"2015/2016",Spain LIGA BBVA,RCD Espanyol,43,49,-6
"2008/2009",Spain LIGA BBVA,RCD Mallorca,51,,
"2009/2010",Spain LIGA BBVA,RCD Mallorca,62,51,11
"2010/2011",Spain LIGA BBVA,RCD Mallorca,44,62,-18
"2011/2012",Spain LIGA BBVA,RCD Mallorca,52,44,8
"2012/2013",Spain LIGA BBVA,RCD Mallorca,36,52,-16
"2009/2010",Netherlands Eredivisie,RKC Waalwijk,15,,
"2011/2012",Netherlands Eredivisie,RKC Waalwijk,45,15,30
"2012/2013",Netherlands Eredivisie,RKC Waalwijk,37,45,-8
"2013/2014",Netherlands Eredivisie,RKC Waalwijk,32,37,-5
"2008/2009",Belgium Jupiler League,RSC Anderlecht,77,,
"2009/2010",Belgium Jupiler League,RSC Anderlecht,69,77,-8
"2010/2011",Belgium Jupiler League,RSC Anderlecht,65,69,-4
"2011/2012",Belgium Jupiler League,RSC Anderlecht,67,65,2
"2012/2013",Belgium Jupiler League,RSC Anderlecht,67,67,0
"2014/2015",Belgium Jupiler League,RSC Anderlecht,57,67,-10
"2015/2016",Belgium Jupiler League,RSC Anderlecht,55,57,-2
"2008/2009",Spain LIGA BBVA,Racing Santander,46,,
"2009/2010",Spain LIGA BBVA,Racing Santander,39,46,-7
"2010/2011",Spain LIGA BBVA,Racing Santander,46,39,7
"2011/2012",Spain LIGA BBVA,Racing Santander,27,46,-19
"2008/2009",Scotland Premier League,Rangers,86,,
"2009/2010",Scotland Premier League,Rangers,87,86,1
"2010/2011",Scotland Premier League,Rangers,93,87,6
"2011/2012",Scotland Premier League,Rangers,83,93,-10
"2011/2012",Spain LIGA BBVA,Rayo Vallecano,43,,
"2012/2013",Spain LIGA BBVA,Rayo Vallecano,53,43,10
"2013/2014",Spain LIGA BBVA,Rayo Vallecano,43,53,-10
"2014/2015",Spain LIGA BBVA,Rayo Vallecano,49,43,6
"2015/2016",Spain LIGA BBVA,Rayo Vallecano,38,49,-11
"2012/2013",England Premier League,Reading,28,,
"2008/2009",Spain LIGA BBVA,Real Betis Balompié,42,,
"2011/2012",Spain LIGA BBVA,Real Betis Balompié,47,42,5
"2012/2013",Spain LIGA BBVA,Real Betis Balompié,56,47,9
"2013/2014",Spain LIGA BBVA,Real Betis Balompié,25,56,-31
"2015/2016",Spain LIGA BBVA,Real Betis Balompié,45,25,20
"2008/2009",Spain LIGA BBVA,Real Madrid CF,78,,
"2009/2010",Spain LIGA BBVA,Real Madrid CF,96,78,18
"2010/2011",Spain LIGA BBVA,Real Madrid CF,92,96,-4
"2011/2012",Spain LIGA BBVA,Real Madrid CF,100,92,8
"2012/2013",Spain LIGA BBVA,Real Madrid CF,85,100,-15
"2013/2014",Spain LIGA BBVA,Real Madrid CF,87,85,2
"2014/2015",Spain LIGA BBVA,Real Madrid CF,92,87,5
"2015/2016",Spain LIGA BBVA,Real Madrid CF,90,92,-2
"2010/2011",Spain LIGA BBVA,Real Sociedad,45,,
"2011/2012",Spain LIGA BBVA,Real Sociedad,47,45,2
"2012/2013",Spain LIGA BBVA,Real Sociedad,66,47,19
"2013/2014",Spain LIGA BBVA,Real Sociedad,59,66,-7
"2014/2015",Spain LIGA BBVA,Real Sociedad,46,59,-13
"2015/2016",Spain LIGA BBVA,Real Sociedad,48,46,2
"2008/2009",Spain LIGA BBVA,Real Sporting de Gijón,43,,
"2009/2010",Spain LIGA BBVA,Real Sporting de Gijón,40,43,-3
"2010/2011",Spain LIGA BBVA,Real Sporting de Gijón,47,40,7
"2011/2012",Spain LIGA BBVA,Real Sporting de Gijón,37,47,-10
"2015/2016",Spain LIGA BBVA,Real Sporting de Gijón,39,37,2
"2008/2009",Spain LIGA BBVA,Real Valladolid,43,,
"2009/2010",Spain LIGA BBVA,Real Valladolid,36,43,-7
"2012/2013",Spain LIGA BBVA,Real Valladolid,43,36,7
"2013/2014",Spain LIGA BBVA,Real Valladolid,36,43,-7
"2009/2010",Spain LIGA BBVA,Real Zaragoza,41,,
"2010/2011",Spain LIGA BBVA,Real Zaragoza,45,41,4
"2011/2012",Spain LIGA BBVA,Real Zaragoza,43,45,-2
"2012/2013",Spain LIGA BBVA,Real Zaragoza,34,43,-9
"2008/2009",Italy Serie A,Reggio Calabria,31,,
"2008/2009",Portugal Liga ZON Sagres,Rio Ave FC,30,,
"2009/2010",Portugal Liga ZON Sagres,Rio Ave FC,31,30,1
"2010/2011",Portugal Liga ZON Sagres,Rio Ave FC,38,31,7
"2011/2012",Portugal Liga ZON Sagres,Rio Ave FC,28,38,-10
"2012/2013",Portugal Liga ZON Sagres,Rio Ave FC,42,28,14
"2013/2014",Portugal Liga ZON Sagres,Rio Ave FC,32,42,-10
"2014/2015",Portugal Liga ZON Sagres,Rio Ave FC,43,32,11
"2015/2016",Portugal Liga ZON Sagres,Rio Ave FC,50,43,7
"2008/2009",Netherlands Eredivisie,Roda JC Kerkrade,30,,
"2009/2010",Netherlands Eredivisie,Roda JC Kerkrade,47,30,17
"2010/2011",Netherlands Eredivisie,Roda JC Kerkrade,55,47,8
"2011/2012",Netherlands Eredivisie,Roda JC Kerkrade,44,55,-11
"2012/2013",Netherlands Eredivisie,Roda JC Kerkrade,33,44,-11
"2013/2014",Netherlands Eredivisie,Roda JC Kerkrade,29,33,-4
"2015/2016",Netherlands Eredivisie,Roda JC Kerkrade,34,29,5
"2008/2009",Italy Serie A,Roma,63,,
"2009/2010",Italy Serie A,Roma,80,63,17
"2010/2011",Italy Serie A,Roma,63,80,-17
"2011/2012",Italy Serie A,Roma,56,63,-7
"2012/2013",Italy Serie A,Roma,62,56,6
"2013/2014",Italy Serie A,Roma,85,62,23
"2014/2015",Italy Serie A,Roma,70,85,-15
"2015/2016",Italy Serie A,Roma,80,70,10
"2012/2013",Scotland Premier League,Ross County FC,53,,
"2013/2014",Scotland Premier League,Ross County FC,40,53,-13
"2014/2015",Scotland Premier League,Ross County FC,44,40,4
"2015/2016",Scotland Premier League,Ross County FC,48,44,4
"2008/2009",Belgium Jupiler League,Royal Excel Mouscron,44,,
"2014/2015",Belgium Jupiler League,Royal Excel Mouscron,26,44,-18
"2015/2016",Belgium Jupiler League,Royal Excel Mouscron,30,26,4
"2008/2009",Poland Ekstraklasa,Ruch Chorzów,34,,
"2009/2010",Poland Ekstraklasa,Ruch Chorzów,53,34,19
"2010/2011",Poland Ekstraklasa,Ruch Chorzów,38,53,-15
"2011/2012",Poland Ekstraklasa,Ruch Chorzów,55,38,17
"2012/2013",Poland Ekstraklasa,Ruch Chorzów,31,55,-24
"2013/2014",Poland Ekstraklasa,Ruch Chorzów,50,31,19
"2014/2015",Poland Ekstraklasa,Ruch Chorzów,33,50,-17
"2015/2016",Poland Ekstraklasa,Ruch Chorzów,39,33,6
"2009/2010",Portugal Liga ZON Sagres,S.C. Olhanense,29,,
"2010/2011",Portugal Liga ZON Sagres,S.C. Olhanense,34,29,5
"2011/2012",Portugal Liga ZON Sagres,S.C. Olhanense,39,34,5
"2012/2013",Portugal Liga ZON Sagres,S.C. Olhanense,25,39,-14
"2013/2014",Portugal Liga ZON Sagres,S.C. Olhanense,24,25,-1
"2012/2013",France Ligue 1,SC Bastia,47,,
"2013/2014",France Ligue 1,SC Bastia,46,47,-1
"2014/2015",France Ligue 1,SC Bastia,47,46,1
"2015/2016",France Ligue 1,SC Bastia,50,47,3
"2010/2011",Portugal Liga ZON Sagres,SC Beira Mar,33,,
"2011/2012",Portugal Liga ZON Sagres,SC Beira Mar,29,33,-4
"2012/2013",Portugal Liga ZON Sagres,SC Beira Mar,23,29,-6
"2008/2009",Portugal Liga ZON Sagres,SC Braga,50,,
"2009/2010",Portugal Liga ZON Sagres,SC Braga,71,50,21
"2010/2011",Portugal Liga ZON Sagres,SC Braga,46,71,-25
"2011/2012",Portugal Liga ZON Sagres,SC Braga,62,46,16
"2012/2013",Portugal Liga ZON Sagres,SC Braga,52,62,-10
"2013/2014",Portugal Liga ZON Sagres,SC Braga,37,52,-15
"2014/2015",Portugal Liga ZON Sagres,SC Braga,58,37,21
"2015/2016",Portugal Liga ZON Sagres,SC Braga,58,58,0
"2013/2014",Netherlands Eredivisie,SC Cambuur,39,,
"2014/2015",Netherlands Eredivisie,SC Cambuur,41,39,2
"2015/2016",Netherlands Eredivisie,SC Cambuur,18,41,-23
"2009/2010",Germany 1. Bundesliga,SC Freiburg,35,,
"2010/2011",Germany 1. Bundesliga,SC Freiburg,44,35,9
"2011/2012",Germany 1. Bundesliga,SC Freiburg,40,44,-4
"2012/2013",Germany 1. Bundesliga,SC Freiburg,51,40,11
"2013/2014",Germany 1. Bundesliga,SC Freiburg,36,51,-15
"2014/2015",Germany 1. Bundesliga,SC Freiburg,34,36,-2
"2008/2009",Netherlands Eredivisie,SC Heerenveen,60,,
"2009/2010",Netherlands Eredivisie,SC Heerenveen,37,60,-23
"2010/2011",Netherlands Eredivisie,SC Heerenveen,41,37,4
"2011/2012",Netherlands Eredivisie,SC Heerenveen,64,41,23
"2012/2013",Netherlands Eredivisie,SC Heerenveen,42,64,-22
"2013/2014",Netherlands Eredivisie,SC Heerenveen,57,42,15
"2014/2015",Netherlands Eredivisie,SC Heerenveen,50,57,-7
"2015/2016",Netherlands Eredivisie,SC Heerenveen,42,50,-8
"2014/2015",Germany 1. Bundesliga,SC Paderborn 07,31,,
"2014/2015",Spain LIGA BBVA,SD Eibar,35,,
"2015/2016",Spain LIGA BBVA,SD Eibar,43,35,8
"2008/2009",Portugal Liga ZON Sagres,SL Benfica,59,,
"2009/2010",Portugal Liga ZON Sagres,SL Benfica,76,59,17
"2010/2011",Portugal Liga ZON Sagres,SL Benfica,63,76,-13
"2011/2012",Portugal Liga ZON Sagres,SL Benfica,69,63,6
"2012/2013",Portugal Liga ZON Sagres,SL Benfica,77,69,8
"2013/2014",Portugal Liga ZON Sagres,SL Benfica,74,77,-3
"2014/2015",Portugal Liga ZON Sagres,SL Benfica,85,74,11
"2015/2016",Portugal Liga ZON Sagres,SL Benfica,88,85,3
"2008/2009",France Ligue 1,SM Caen,37,,
"2010/2011",France Ligue 1,SM Caen,46,37,9
"2011/2012",France Ligue 1,SM Caen,38,46,-8
"2014/2015",France Ligue 1,SM Caen,46,38,8
"2015/2016",France Ligue 1,SM Caen,54,46,8
"2015/2016",Germany 1. Bundesliga,SV Darmstadt 98,38,,
"2008/2009",Germany 1. Bundesliga,SV Werder Bremen,45,,
"2009/2010",Germany 1. Bundesliga,SV Werder Bremen,61,45,16
"2010/2011",Germany 1. Bundesliga,SV Werder Bremen,41,61,-20
"2011/2012",Germany 1. Bundesliga,SV Werder Bremen,42,41,1
"2012/2013",Germany 1. Bundesliga,SV Werder Bremen,34,42,-8
"2013/2014",Germany 1. Bundesliga,SV Werder Bremen,39,34,5
"2014/2015",Germany 1. Bundesliga,SV Werder Bremen,43,39,4
"2015/2016",Germany 1. Bundesliga,SV Werder Bremen,38,43,-5
"2008/2009",Belgium Jupiler League,SV Zulte-Waregem,55,,
"2009/2010",Belgium Jupiler League,SV Zulte-Waregem,41,55,-14
"2010/2011",Belgium Jupiler League,SV Zulte-Waregem,33,41,-8
"2011/2012",Belgium Jupiler League,SV Zulte-Waregem,30,33,-3
"2012/2013",Belgium Jupiler League,SV Zulte-Waregem,63,30,33
"2014/2015",Belgium Jupiler League,SV Zulte-Waregem,31,63,-32
"2015/2016",Belgium Jupiler League,SV Zulte-Waregem,43,31,12
"2008/2009",Italy Serie A,Sampdoria,46,,
"2009/2010",Italy Serie A,Sampdoria,67,46,21
"2010/2011",Italy Serie A,Sampdoria,36,67,-31
"2012/2013",Italy Serie A,Sampdoria,43,36,7
"2013/2014",Italy Serie A,Sampdoria,45,43,2
"2014/2015",Italy Serie A,Sampdoria,56,45,11
"2015/2016",Italy Serie A,Sampdoria,40,56,-16
"2013/2014",Italy Serie A,Sassuolo,34,,
"2014/2015",Italy Serie A,Sassuolo,49,34,15
"2015/2016",Italy Serie A,Sassuolo,61,49,12
"2011/2012",Switzerland Super League,Servette FC,48,,
"2012/2013",Switzerland Super League,Servette FC,26,48,-22
"2008/2009",Spain LIGA BBVA,Sevilla FC,70,,
"2009/2010",Spain LIGA BBVA,Sevilla FC,63,70,-7
"2010/2011",Spain LIGA BBVA,Sevilla FC,58,63,-5
"2011/2012",Spain LIGA BBVA,Sevilla FC,50,58,-8
"2012/2013",Spain LIGA BBVA,Sevilla FC,50,50,0
"2013/2014",Spain LIGA BBVA,Sevilla FC,63,50,13
"2014/2015",Spain LIGA BBVA,Sevilla FC,76,63,13
"2015/2016",Spain LIGA BBVA,Sevilla FC,52,76,-24
"2008/2009",Italy Serie A,Siena,44,,
"2009/2010",Italy Serie A,Siena,31,44,-13
"2011/2012",Italy Serie A,Siena,38,31,7
"2012/2013",Italy Serie A,Siena,36,38,-2
"2009/2010",Belgium Jupiler League,Sint-Truidense VV,42,,
"2010/2011",Belgium Jupiler League,Sint-Truidense VV,29,42,-13
"2011/2012",Belgium Jupiler League,Sint-Truidense VV,19,29,-10
"2015/2016",Belgium Jupiler League,Sint-Truidense VV,30,19,11
"2012/2013",England Premier League,Southampton,41,,
"2013/2014",England Premier League,Southampton,56,41,15
"2014/2015",England Premier League,Southampton,60,56,4
"2015/2016",England Premier League,Southampton,63,60,3
"2012/2013",Germany 1. Bundesliga,SpVgg Greuther Fürth,21,,
"2008/2009",Netherlands Eredivisie,Sparta Rotterdam,35,,
"2009/2010",Netherlands Eredivisie,Sparta Rotterdam,26,35,-9
"2008/2009",Portugal Liga ZON Sagres,Sporting CP,66,,
"2009/2010",Portugal Liga ZON Sagres,Sporting CP,48,66,-18
"2010/2011",Portugal Liga ZON Sagres,Sporting CP,48,48,0
"2011/2012",Portugal Liga ZON Sagres,Sporting CP,59,48,11
"2012/2013",Portugal Liga ZON Sagres,Sporting CP,42,59,-17
"2013/2014",Portugal Liga ZON Sagres,Sporting CP,67,42,25
"2014/2015",Portugal Liga ZON Sagres,Sporting CP,76,67,9
"2015/2016",Portugal Liga ZON Sagres,Sporting CP,86,76,10
"2008/2009",Belgium Jupiler League,Sporting Charleroi,43,,
"2009/2010",Belgium Jupiler League,Sporting Charleroi,23,43,-20
"2010/2011",Belgium Jupiler League,Sporting Charleroi,19,23,-4
"2012/2013",Belgium Jupiler League,Sporting Charleroi,34,19,15
"2014/2015",Belgium Jupiler League,Sporting Charleroi,49,34,15
"2015/2016",Belgium Jupiler League,Sporting Charleroi,39,49,-10
"2008/2009",Belgium Jupiler League,Sporting Lokeren,51,,
"2009/2010",Belgium Jupiler League,Sporting Lokeren,18,51,-33
"2010/2011",Belgium Jupiler League,Sporting Lokeren,50,18,32
"2011/2012",Belgium Jupiler League,Sporting Lokeren,44,50,-6
"2012/2013",Belgium Jupiler League,Sporting Lokeren,51,44,7
"2014/2015",Belgium Jupiler League,Sporting Lokeren,42,51,-9
"2015/2016",Belgium Jupiler League,Sporting Lokeren,34,42,-8
"2009/2010",Scotland Premier League,St. Johnstone FC,47,,
"2010/2011",Scotland Premier League,St. Johnstone FC,44,47,-3
"2011/2012",Scotland Premier League,St. Johnstone FC,50,44,6
"2012/2013",Scotland Premier League,St. Johnstone FC,56,50,6
"2013/2014",Scotland Premier League,St. Johnstone FC,53,56,-3
"2014/2015",Scotland Premier League,St. Johnstone FC,57,53,4
"2015/2016",Scotland Premier League,St. Johnstone FC,56,57,-1
"2008/2009",Scotland Premier League,St. Mirren,37,,
"2009/2010",Scotland Premier League,St. Mirren,34,37,-3
"2010/2011",Scotland Premier League,St. Mirren,33,34,-1
"2011/2012",Scotland Premier League,St. Mirren,43,33,10
"2012/2013",Scotland Premier League,St. Mirren,41,43,-2
"2013/2014",Scotland Premier League,St. Mirren,39,41,-2
"2014/2015",Scotland Premier League,St. Mirren,30,39,-9
"2010/2011",France Ligue 1,Stade Brestois 29,46,,
"2011/2012",France Ligue 1,Stade Brestois 29,41,46,-5
"2012/2013",France Ligue 1,Stade Brestois 29,29,41,-12
"2008/2009",France Ligue 1,Stade Rennais FC,61,,
"2009/2010",France Ligue 1,Stade Rennais FC,53,61,-8
"2010/2011",France Ligue 1,Stade Rennais FC,56,53,3
"2011/2012",France Ligue 1,Stade Rennais FC,60,56,4
"2012/2013",France Ligue 1,Stade Rennais FC,46,60,-14
"2013/2014",France Ligue 1,Stade Rennais FC,46,46,0
"2014/2015",France Ligue 1,Stade Rennais FC,50,46,4
"2015/2016",France Ligue 1,Stade Rennais FC,52,50,2
"2012/2013",France Ligue 1,Stade de Reims,43,,
"2013/2014",France Ligue 1,Stade de Reims,48,43,5
"2014/2015",France Ligue 1,Stade de Reims,44,48,-4
"2015/2016",France Ligue 1,Stade de Reims,39,44,-5
"2008/2009",Belgium Jupiler League,Standard de Liège,77,,
"2009/2010",Belgium Jupiler League,Standard de Liège,39,77,-38
"2010/2011",Belgium Jupiler League,Standard de Liège,49,39,10
"2011/2012",Belgium Jupiler League,Standard de Liège,51,49,2
"2012/2013",Belgium Jupiler League,Standard de Liège,50,51,-1
"2014/2015",Belgium Jupiler League,Standard de Liège,53,50,3
"2015/2016",Belgium Jupiler League,Standard de Liège,41,53,-12
"2008/2009",England Premier League,Stoke City,45,,
"2009/2010",England Premier League,Stoke City,47,45,2
"2010/2011",England Premier League,Stoke City,46,47,-1
"2011/2012",England Premier League,Stoke City,45,46,-1
"2012/2013",England Premier League,Stoke City,42,45,-3
"2013/2014",England Premier League,Stoke City,50,42,8
"2014/2015",England Premier League,Stoke City,54,50,4
"2015/2016",England Premier League,Stoke City,51,54,-3
"2008/2009",England Premier League,Sunderland,36,,
"2009/2010",England Premier League,Sunderland,44,36,8
"2010/2011",England Premier League,Sunderland,47,44,3
"2011/2012",England Premier League,Sunderland,45,47,-2
"2012/2013",England Premier League,Sunderland,39,45,-6
"2013/2014",England Premier League,Sunderland,38,39,-1
"2014/2015",England Premier League,Sunderland,38,38,0
"2015/2016",England Premier League,Sunderland,39,38,1
"2011/2012",England Premier League,Swansea City,47,,
"2012/2013",England Premier League,Swansea City,46,47,-1
"2013/2014",England Premier League,Swansea City,42,46,-4
"2014/2015",England Premier League,Swansea City,56,42,14
"2015/2016",England Premier League,Swansea City,47,56,-9
"2008/2009",Germany 1. Bundesliga,TSG 1899 Hoffenheim,55,,
"2009/2010",Germany 1. Bundesliga,TSG 1899 Hoffenheim,42,55,-13
"2010/2011",Germany 1. Bundesliga,TSG 1899 Hoffenheim,43,42,1
"2011/2012",Germany 1. Bundesliga,TSG 1899 Hoffenheim,41,43,-2
"2012/2013",Germany 1. Bundesliga,TSG 1899 Hoffenheim,31,41,-10
"2013/2014",Germany 1. Bundesliga,TSG 1899 Hoffenheim,44,31,13
"2014/2015",Germany 1. Bundesliga,TSG 1899 Hoffenheim,44,44,0
"2015/2016",Germany 1. Bundesliga,TSG 1899 Hoffenheim,37,44,-7
"2015/2016",Poland Ekstraklasa,Termalica Bruk-Bet Nieciecza,33,,
"2015/2016",Portugal Liga ZON Sagres,Tondela,30,,
"2008/2009",Italy Serie A,Torino,34,,
"2012/2013",Italy Serie A,Torino,40,34,6
"2013/2014",Italy Serie A,Torino,57,40,17
"2014/2015",Italy Serie A,Torino,54,57,-3
"2015/2016",Italy Serie A,Torino,45,54,-9
"2008/2009",England Premier League,Tottenham Hotspur,51,,
"2009/2010",England Premier League,Tottenham Hotspur,70,51,19
"2010/2011",England Premier League,Tottenham Hotspur,62,70,-8
"2011/2012",England Premier League,Tottenham Hotspur,69,62,7
"2012/2013",England Premier League,Tottenham Hotspur,72,69,3
"2013/2014",England Premier League,Tottenham Hotspur,69,72,-3
"2014/2015",England Premier League,Tottenham Hotspur,64,69,-5
"2015/2016",England Premier League,Tottenham Hotspur,70,64,6
"2008/2009",France Ligue 1,Toulouse FC,64,,
"2009/2010",France Ligue 1,Toulouse FC,47,64,-17
"2010/2011",France Ligue 1,Toulouse FC,50,47,3
"2011/2012",France Ligue 1,Toulouse FC,56,50,6
"2012/2013",France Ligue 1,Toulouse FC,51,56,-5
"2013/2014",France Ligue 1,Toulouse FC,49,51,-2
"2014/2015",France Ligue 1,Toulouse FC,42,49,-7
"2015/2016",France Ligue 1,Toulouse FC,40,42,-2
"2008/2009",Portugal Liga ZON Sagres,Trofense,23,,
"2008/2009",Belgium Jupiler League,Tubize,27,,
"2008/2009",Spain LIGA BBVA,UD Almería,46,,
"2009/2010",Spain LIGA BBVA,UD Almería,42,46,-4
"2010/2011",Spain LIGA BBVA,UD Almería,30,42,-12
"2013/2014",Spain LIGA BBVA,UD Almería,40,30,10
"2014/2015",Spain LIGA BBVA,UD Almería,32,40,-8
"2015/2016",Spain LIGA BBVA,UD Las Palmas,44,,
"2009/2010",France Ligue 1,US Boulogne Cote D'Opale,31,,
"2008/2009",Italy Serie A,Udinese,58,,
"2009/2010",Italy Serie A,Udinese,44,58,-14
"2010/2011",Italy Serie A,Udinese,66,44,22
"2011/2012",Italy Serie A,Udinese,63,66,-3
"2012/2013",Italy Serie A,Udinese,66,63,3
"2013/2014",Italy Serie A,Udinese,44,66,-22
"2014/2015",Italy Serie A,Udinese,41,44,-3
"2015/2016",Italy Serie A,Udinese,39,41,-2
"2015/2016",Portugal Liga ZON Sagres,Uniao da Madeira,29,,
"2009/2010",Portugal Liga ZON Sagres,"União de Leiria, SAD",35,,
"2010/2011",Portugal Liga ZON Sagres,"União de Leiria, SAD",35,35,0
"2011/2012",Portugal Liga ZON Sagres,"União de Leiria, SAD",19,35,-16
