"league","season","avg_home_goals","avg_away_goals","home_advantage","win_percent","draw_percent","loss_percent"
Portugal Liga ZON Sagres,"2015/2016",1.5130718954248366,1.2026143790849673,0.3104575163398693,0.434640522875817,0.24836601307189543,0.31699346405228757
Netherlands Eredivisie,"2014/2015",1.6928104575163399,1.3856209150326797,0.30718954248366015,0.45098039215686275,0.238562091503268,0.3104575163398693
Germany 1. Bundesliga,"2015/2016",1.565359477124183,1.2647058823529411,0.30065359477124187,0.4411764705882353,0.23202614379084968,0.32679738562091504
Poland Ekstraklasa,"2011/2012",1.2416666666666667,0.9541666666666667,0.2875,0.44583333333333336,0.2708333333333333,0.2833333333333333
Portugal Liga ZON Sagres,"2013/2014",1.3291666666666666,1.0416666666666667,0.28749999999999987,0.45,0.25,0.3
England Premier League,"2015/2016",1.4921052631578948,1.2078947368421054,0.28421052631578947,0.4131578947368421,0.28157894736842104,0.30526315789473685
Netherlands Eredivisie,"2015/2016",1.630718954248366,1.3496732026143792,0.2810457516339868,0.4477124183006536,0.24183006535947713,0.3104575163398693
Scotland Premier League,"2013/2014",1.513157894736842,1.2324561403508771,0.2807017543859649,0.4473684210526316,0.21929824561403508,0.3333333333333333
Switzerland Super League,"2011/2012",1.4506172839506173,1.1728395061728396,0.2777777777777777,0.43209876543209874,0.24691358024691357,0.32098765432098764
Poland Ekstraklasa,"2009/2010",1.2458333333333333,0.9708333333333333,0.275,0.45,0.2708333333333333,0.2791666666666667
Portugal Liga ZON Sagres,"2009/2010",1.3875,1.1166666666666667,0.27083333333333326,0.43333333333333335,0.2833333333333333,0.2833333333333333
Scotland Premier League,"2009/2010",1.4078947368421053,1.1578947368421053,0.25,0.41228070175438597,0.27631578947368424,0.31140350877192985
Germany 1. Bundesliga,"2012/2013",1.591503267973856,1.3431372549019607,0.24836601307189543,0.42483660130718953,0.2549019607843137,0.3202614379084967
Belgium Jupiler League,"2009/2010",1.4666666666666666,1.223809523809524,0.24285714285714266,0.46190476190476193,0.24285714285714285,0.29523809523809524
Scotland Premier League,"2008/2009",1.3201754385964912,1.0833333333333333,0.23684210526315796,0.42105263157894735,0.25877192982456143,0.3201754385964912
Portugal Liga ZON Sagres,"2012/2013",1.5041666666666667,1.275,0.22916666666666674,0.42916666666666664,0.25416666666666665,0.31666666666666665
Scotland Premier League,"2012/2013",1.4780701754385965,1.2543859649122806,0.22368421052631593,0.39035087719298245,0.3201754385964912,0.2894736842105263
Scotland Premier League,"2010/2011",1.381578947368421,1.1798245614035088,0.20175438596491224,0.41228070175438597,0.2149122807017544,0.37280701754385964
Germany 1. Bundesliga,"2009/2010",1.5130718954248366,1.3169934640522876,0.196078431372549,0.4084967320261438,0.28104575163398693,0.3104575163398693
Belgium Jupiler League,"2012/2013",1.5625,1.3666666666666667,0.1958333333333333,0.425,0.24583333333333332,0.32916666666666666
Poland Ekstraklasa,"2015/2016",1.4208333333333334,1.225,0.1958333333333333,0.37916666666666665,0.30833333333333335,0.3125
Poland Ekstraklasa,"2012/2013",1.3416666666666666,1.15,0.19166666666666665,0.4041666666666667,0.2625,0.3333333333333333
Portugal Liga ZON Sagres,"2010/2011",1.3125,1.1208333333333333,0.19166666666666665,0.42083333333333334,0.275,0.30416666666666664
Portugal Liga ZON Sagres,"2008/2009",1.2333333333333334,1.0666666666666667,0.16666666666666674,0.44583333333333336,0.26666666666666666,0.2875
Switzerland Super League,"2010/2011",1.5722222222222222,1.4111111111111112,0.16111111111111098,0.4,0.2833333333333333,0.31666666666666665
Scotland Premier League,"2015/2016",1.5043859649122806,1.3464912280701755,0.1578947368421051,0.40789473684210525,0.22807017543859648,0.36403508771929827
Scotland Premier League,"2011/2012",1.381578947368421,1.2543859649122806,0.1271929824561404,0.39473684210526316,0.25,0.35526315789473684
