"season","league","team","points","wins","draws","losses","goals_for","goals_against","goal_diff","played","position"
"2012/2013",Switzerland Super League,FC Sion,48,13,9,14,40,54,-14,36,6
"2012/2013",Switzerland Super League,BSC Young Boys,43,11,10,15,48,50,-2,36,7
"2012/2013",Switzerland Super League,FC Luzern,42,10,12,14,41,52,-11,36,8
"2012/2013",Switzerland Super League,FC Lausanne-Sports,33,8,9,19,32,51,-19,36,9
"2012/2013",Switzerland Super League,Servette FC,26,6,8,22,32,62,-30,36,10
"2013/2014",Belgium Jupiler League,KV Oostende,14,4,2,0,7,1,6,6,1
"2013/2014",Belgium Jupiler League,KAA Gent,10,3,1,2,11,6,5,6,2
"2013/2014",Belgium Jupiler League,Lierse SK,6,2,0,4,5,12,-7,6,3
"2013/2014",Belgium Jupiler League,Waasland-Beveren,4,1,1,4,7,11,-4,6,4
"2013/2014",England Premier League,Manchester City,86,27,5,6,102,37,65,38,1
"2013/2014",England Premier League,Liverpool,84,26,6,6,101,50,51,38,2
"2013/2014",England Premier League,Chelsea,82,25,7,6,71,27,44,38,3
"2013/2014",England Premier League,Arsenal,79,24,7,7,68,41,27,38,4
"2013/2014",England Premier League,Everton,72,21,9,8,61,39,22,38,5
"2013/2014",England Premier League,Tottenham Hotspur,69,21,6,11,55,51,4,38,6
"2013/2014",England Premier League,Manchester United,64,19,7,12,64,43,21,38,7
"2013/2014",England Premier League,Southampton,56,15,11,12,54,46,8,38,8
"2013/2014",England Premier League,Stoke City,50,13,11,14,45,52,-7,38,9
"2013/2014",England Premier League,Newcastle United,49,15,4,19,43,59,-16,38,10
"2013/2014",England Premier League,Crystal Palace,45,13,6,19,33,48,-15,38,11
"2013/2014",England Premier League,Swansea City,42,11,9,18,54,54,0,38,12
"2013/2014",England Premier League,West Ham United,40,11,7,20,40,51,-11,38,13
"2013/2014",England Premier League,Sunderland,38,10,8,20,41,60,-19,38,14
"2013/2014",England Premier League,Aston Villa,38,10,8,20,39,61,-22,38,15
"2013/2014",England Premier League,Hull City,37,10,7,21,38,53,-15,38,16
"2013/2014",England Premier League,West Bromwich Albion,36,7,15,16,43,59,-16,38,17
"2013/2014",England Premier League,Norwich City,33,8,9,21,28,62,-34,38,18
"2013/2014",England Premier League,Fulham,32,9,5,24,40,85,-45,38,19
"2013/2014",England Premier League,Cardiff City,30,7,9,22,32,74,-42,38,20
"2013/2014",France Ligue 1,Paris Saint-Germain,89,27,8,3,84,23,61,38,1
"2013/2014",France Ligue 1,AS Monaco,80,23,11,4,63,31,32,38,2
"2013/2014",France Ligue 1,LOSC Lille,71,20,11,7,46,26,20,38,3
"2013/2014",France Ligue 1,AS Saint-Étienne,69,20,9,9,56,34,22,38,4
"2013/2014",France Ligue 1,Olympique Lyonnais,61,17,10,11,56,44,12,38,5
"2013/2014",France Ligue 1,Olympique de Marseille,60,16,12,10,53,40,13,38,6
"2013/2014",France Ligue 1,Girondins de Bordeaux,53,13,14,11,49,43,6,38,7
"2013/2014",France Ligue 1,FC Nantes,49,13,10,15,40,43,-3,38,8
"2013/2014",France Ligue 1,FC Lorient,49,13,10,15,48,53,-5,38,9
"2013/2014",France Ligue 1,Toulouse FC,49,12,13,13,46,53,-7,38,10
"2013/2014",France Ligue 1,Stade de Reims,48,12,12,14,44,52,-8,38,11
"2013/2014",France Ligue 1,Stade Rennais FC,46,11,13,14,47,45,2,38,12
"2013/2014",France Ligue 1,SC Bastia,46,12,10,16,42,58,-16,38,13
"2013/2014",France Ligue 1,Évian Thonon Gaillard FC,44,11,11,16,39,51,-12,38,14
"2013/2014",France Ligue 1,En Avant de Guingamp,42,11,9,18,34,42,-8,38,15
"2013/2014",France Ligue 1,Montpellier Hérault SC,42,8,18,12,45,53,-8,38,15
"2013/2014",France Ligue 1,OGC Nice,42,12,6,20,30,44,-14,38,17
"2013/2014",France Ligue 1,FC Sochaux-Montbéliard,40,10,10,18,37,61,-24,38,18
"2013/2014",France Ligue 1,Valenciennes FC,29,7,8,23,37,65,-28,38,19
"2013/2014",France Ligue 1,AC Ajaccio,23,4,11,23,37,72,-35,38,20
"2013/2014",Germany 1. Bundesliga,FC Bayern Munich,90,29,3,2,94,23,71,34,1
"2013/2014",Germany 1. Bundesliga,Borussia Dortmund,71,22,5,7,80,38,42,34,2
"2013/2014",Germany 1. Bundesliga,FC Schalke 04,64,19,7,8,63,43,20,34,3
"2013/2014",Germany 1. Bundesliga,Bayer 04 Leverkusen,61,19,4,11,60,41,19,34,4
"2013/2014",Germany 1. Bundesliga,VfL Wolfsburg,60,18,6,10,63,50,13,34,5
"2013/2014",Germany 1. Bundesliga,Borussia Mönchengladbach,55,16,7,11,59,43,16,34,6
"2013/2014",Germany 1. Bundesliga,"1. FSV Mainz 05",53,16,5,13,52,54,-2,34,7
"2013/2014",Germany 1. Bundesliga,FC Augsburg,52,15,7,12,47,47,0,34,8
"2013/2014",Germany 1. Bundesliga,TSG 1899 Hoffenheim,44,11,11,12,72,70,2,34,9
"2013/2014",Germany 1. Bundesliga,Hannover 96,42,12,6,16,46,59,-13,34,10
"2013/2014",Germany 1. Bundesliga,Hertha BSC Berlin,41,11,8,15,40,48,-8,34,11
"2013/2014",Germany 1. Bundesliga,SV Werder Bremen,39,10,9,15,42,66,-24,34,12
"2013/2014",Germany 1. Bundesliga,Eintracht Frankfurt,36,9,9,16,40,57,-17,34,13
"2013/2014",Germany 1. Bundesliga,SC Freiburg,36,9,9,16,43,61,-18,34,14
"2013/2014",Germany 1. Bundesliga,VfB Stuttgart,32,8,8,18,49,62,-13,34,15
"2013/2014",Germany 1. Bundesliga,Hamburger SV,27,7,6,21,51,75,-24,34,16
"2013/2014",Germany 1. Bundesliga,"1. FC Nürnberg",26,5,11,18,37,70,-33,34,17
"2013/2014",Germany 1. Bundesliga,Eintracht Braunschweig,25,6,7,21,29,60,-31,34,18
"2013/2014",Italy Serie A,Juventus,102,33,3,2,80,23,57,38,1
"2013/2014",Italy Serie A,Roma,85,26,7,5,72,25,47,38,2
"2013/2014",Italy Serie A,Napoli,78,23,9,6,77,39,38,38,3
"2013/2014",Italy Serie A,Fiorentina,65,19,8,11,65,44,21,38,4
"2013/2014",Italy Serie A,Inter,60,15,15,8,62,39,23,38,5
"2013/2014",Italy Serie A,Parma,58,15,13,10,58,46,12,38,6
"2013/2014",Italy Serie A,Torino,57,15,12,11,58,48,10,38,7
"2013/2014",Italy Serie A,Milan,57,16,9,13,57,49,8,38,8
"2013/2014",Italy Serie A,Lazio,56,15,11,12,54,54,0,38,9
"2013/2014",Italy Serie A,Hellas Verona,54,16,6,16,62,68,-6,38,10
"2013/2014",Italy Serie A,Atalanta,50,15,5,18,43,51,-8,38,11
"2013/2014",Italy Serie A,Sampdoria,45,12,9,17,48,62,-14,38,12
"2013/2014",Italy Serie A,Genoa,44,11,11,16,41,50,-9,38,13
"2013/2014",Italy Serie A,Udinese,44,12,8,18,46,57,-11,38,14
"2013/2014",Italy Serie A,Cagliari,39,9,12,17,34,53,-19,38,15
"2013/2014",Italy Serie A,Chievo Verona,36,10,6,22,34,54,-20,38,16
"2013/2014",Italy Serie A,Sassuolo,34,9,7,22,43,72,-29,38,17
"2013/2014",Italy Serie A,Catania,32,8,8,22,34,66,-32,38,18
"2013/2014",Italy Serie A,Bologna,29,5,14,19,28,58,-30,38,19
"2013/2014",Italy Serie A,Livorno,25,6,7,25,39,77,-38,38,20
"2013/2014",Netherlands Eredivisie,Ajax,71,20,11,3,69,28,41,34,1
"2013/2014",Netherlands Eredivisie,Feyenoord,67,20,7,7,76,40,36,34,2
"2013/2014",Netherlands Eredivisie,FC Twente,63,17,12,5,72,37,35,34,3
"2013/2014",Netherlands Eredivisie,PSV,59,18,5,11,60,45,15,34,4
"2013/2014",Netherlands Eredivisie,SC Heerenveen,57,16,9,9,72,51,21,34,5
"2013/2014",Netherlands Eredivisie,Vitesse,55,15,10,9,65,49,16,34,6
"2013/2014",Netherlands Eredivisie,FC Groningen,51,14,9,11,57,53,4,34,7
"2013/2014",Netherlands Eredivisie,AZ,47,13,8,13,54,50,4,34,8
"2013/2014",Netherlands Eredivisie,ADO Den Haag,43,12,7,15,45,64,-19,34,9
"2013/2014",Netherlands Eredivisie,FC Utrecht,41,11,8,15,46,65,-19,34,10
"2013/2014",Netherlands Eredivisie,PEC Zwolle,40,9,13,12,47,49,-2,34,11
"2013/2014",Netherlands Eredivisie,SC Cambuur,39,10,9,15,40,50,-10,34,12
"2013/2014",Netherlands Eredivisie,Go Ahead Eagles,38,10,8,16,45,69,-24,34,13
"2013/2014",Netherlands Eredivisie,Heracles Almelo,37,10,7,17,45,59,-14,34,14
"2013/2014",Netherlands Eredivisie,NAC Breda,35,8,11,15,43,54,-11,34,15
"2013/2014",Netherlands Eredivisie,RKC Waalwijk,32,7,11,16,44,64,-20,34,16
"2013/2014",Netherlands Eredivisie,N.E.C.,30,5,15,14,54,82,-28,34,17
"2013/2014",Netherlands Eredivisie,Roda JC Kerkrade,29,7,8,19,44,69,-25,34,18
"2013/2014",Poland Ekstraklasa,Legia Warszawa,63,20,3,7,60,30,30,30,1
"2013/2014",Poland Ekstraklasa,Lech Poznań,53,15,8,7,56,34,22,30,2
"2013/2014",Poland Ekstraklasa,Ruch Chorzów,50,14,8,8,40,38,2,30,3
"2013/2014",Poland Ekstraklasa,Pogoń Szczecin,47,11,14,5,47,38,9,30,4
"2013/2014",Poland Ekstraklasa,Wisła Kraków,45,12,9,9,38,30,8,30,5
"2013/2014",Poland Ekstraklasa,Zawisza Bydgoszcz,42,11,9,10,43,37,6,30,6
"2013/2014",Poland Ekstraklasa,Polonia Bytom,42,11,9,10,42,46,-4,30,7
"2013/2014",Poland Ekstraklasa,Lechia Gdańsk,40,10,10,10,38,37,1,30,8
"2013/2014",Poland Ekstraklasa,Jagiellonia Białystok,39,10,9,11,46,43,3,30,9
"2013/2014",Poland Ekstraklasa,Cracovia,39,11,6,13,37,43,-6,30,10
"2013/2014",Poland Ekstraklasa,Korona Kielce,37,9,10,11,36,41,-5,30,11
"2013/2014",Poland Ekstraklasa,Śląsk Wrocław,34,7,13,10,38,40,-2,30,12
"2013/2014",Poland Ekstraklasa,Piast Gliwice,34,8,10,12,29,47,-18,30,13
"2013/2014",Poland Ekstraklasa,Podbeskidzie Bielsko-Biała,31,6,13,11,27,39,-12,30,14
"2013/2014",Poland Ekstraklasa,Zagłębie Lubin,29,7,8,15,31,40,-9,30,15
"2013/2014",Poland Ekstraklasa,Widzew Łódź,22,5,7,18,26,51,-25,30,16
"2013/2014",Portugal Liga ZON Sagres,SL Benfica,74,23,5,2,58,18,40,30,1
"2013/2014",Portugal Liga ZON Sagres,Sporting CP,67,20,7,3,54,20,34,30,2
"2013/2014",Portugal Liga ZON Sagres,FC Porto,61,19,4,7,57,25,32,30,3
"2013/2014",Portugal Liga ZON Sagres,Estoril Praia,54,15,9,6,42,26,16,30,4
"2013/2014",Portugal Liga ZON Sagres,CD Nacional,45,11,12,7,43,33,10,30,5
"2013/2014",Portugal Liga ZON Sagres,CS Marítimo,41,11,8,11,40,44,-4,30,6
"2013/2014",Portugal Liga ZON Sagres,Vitória Setúbal,39,10,9,11,41,41,0,30,7
"2013/2014",Portugal Liga ZON Sagres,SC Braga,37,10,7,13,39,37,2,30,8
"2013/2014",Portugal Liga ZON Sagres,Académica de Coimbra,37,9,10,11,25,35,-10,30,9
"2013/2014",Portugal Liga ZON Sagres,Vitória Guimarães,35,10,5,15,30,35,-5,30,10
"2013/2014",Portugal Liga ZON Sagres,Rio Ave FC,32,8,8,14,21,35,-14,30,11
"2013/2014",Portugal Liga ZON Sagres,Gil Vicente FC,31,8,7,15,23,37,-14,30,12
"2013/2014",Portugal Liga ZON Sagres,FC Arouca,31,8,7,15,28,42,-14,30,12
"2013/2014",Portugal Liga ZON Sagres,CF Os Belenenses,28,6,10,14,19,33,-14,30,14
"2013/2014",Portugal Liga ZON Sagres,S.C. Olhanense,24,6,6,18,21,49,-28,30,15
"2013/2014",Portugal Liga ZON Sagres,FC Paços de Ferreira,24,6,6,18,28,59,-31,30,16
"2013/2014",Scotland Premier League,Celtic,99,31,6,1,102,25,77,38,1
"2013/2014",Scotland Premier League,Motherwell,70,22,4,12,64,60,4,38,2
"2013/2014",Scotland Premier League,Aberdeen,68,20,8,10,53,38,15,38,3
"2013/2014",Scotland Premier League,Dundee United,58,16,10,12,65,50,15,38,4
"2013/2014",Scotland Premier League,Inverness Caledonian Thistle,57,16,9,13,44,44,0,38,5
"2013/2014",Scotland Premier League,St. Johnstone FC,53,15,8,15,48,42,6,38,6
"2013/2014",Scotland Premier League,Ross County FC,40,11,7,20,44,62,-18,38,7
"2013/2014",Scotland Premier League,St. Mirren,39,10,9,19,39,58,-19,38,8
"2013/2014",Scotland Premier League,Kilmarnock,39,11,6,21,45,66,-21,38,9
"2013/2014",Scotland Premier League,Partick Thistle F.C.,38,8,14,16,46,65,-19,38,10
"2013/2014",Scotland Premier League,Heart of Midlothian,38,10,8,20,45,65,-20,38,11
"2013/2014",Scotland Premier League,Hibernian,35,8,11,19,31,51,-20,38,12
"2013/2014",Spain LIGA BBVA,Atlético Madrid,90,28,6,4,77,26,51,38,1
"2013/2014",Spain LIGA BBVA,FC Barcelona,87,27,6,5,100,33,67,38,2
"2013/2014",Spain LIGA BBVA,Real Madrid CF,87,27,6,5,104,38,66,38,3
"2013/2014",Spain LIGA BBVA,Athletic Club de Bilbao,70,20,10,8,66,39,27,38,4
"2013/2014",Spain LIGA BBVA,Sevilla FC,63,18,9,11,69,52,17,38,5
"2013/2014",Spain LIGA BBVA,Villarreal CF,59,17,8,13,60,44,16,38,6
"2013/2014",Spain LIGA BBVA,Real Sociedad,59,16,11,11,62,55,7,38,7
"2013/2014",Spain LIGA BBVA,Valencia CF,49,13,10,15,51,53,-2,38,8
"2013/2014",Spain LIGA BBVA,RC Celta de Vigo,49,14,7,17,49,54,-5,38,9
"2013/2014",Spain LIGA BBVA,Levante UD,48,12,12,14,35,43,-8,38,10
"2013/2014",Spain LIGA BBVA,Málaga CF,45,12,9,17,39,46,-7,38,11
"2013/2014",Spain LIGA BBVA,Rayo Vallecano,43,13,4,21,46,80,-34,38,12
"2013/2014",Spain LIGA BBVA,RCD Espanyol,42,11,9,18,41,51,-10,38,13
"2013/2014",Spain LIGA BBVA,Getafe CF,42,11,9,18,35,54,-19,38,14
"2013/2014",Spain LIGA BBVA,Granada CF,41,12,5,21,32,56,-24,38,15
"2013/2014",Spain LIGA BBVA,Elche CF,40,9,13,16,30,50,-20,38,16
"2013/2014",Spain LIGA BBVA,UD Almería,40,11,7,20,43,71,-28,38,17
"2013/2014",Spain LIGA BBVA,CA Osasuna,39,10,9,19,32,62,-30,38,18
"2013/2014",Spain LIGA BBVA,Real Valladolid,36,7,15,16,38,60,-22,38,19
"2013/2014",Spain LIGA BBVA,Real Betis Balompié,25,6,7,25,36,78,-42,38,20
"2013/2014",Switzerland Super League,FC Basel,72,19,15,2,70,34,36,36,1
"2013/2014",Switzerland Super League,Grasshopper Club Zürich,65,19,8,9,67,43,24,36,2
"2013/2014",Switzerland Super League,BSC Young Boys,59,17,8,11,59,50,9,36,3
"2013/2014",Switzerland Super League,FC Luzern,51,15,6,15,48,54,-6,36,4
"2013/2014",Switzerland Super League,FC Zürich,50,14,8,14,51,52,-1,36,5
"2013/2014",Switzerland Super League,FC Thun,48,13,9,14,57,53,4,36,6
"2013/2014",Switzerland Super League,FC St. Gallen,45,11,12,13,37,47,-10,36,7
"2013/2014",Switzerland Super League,FC Sion,43,12,7,17,38,45,-7,36,8
"2013/2014",Switzerland Super League,FC Aarau,42,12,6,18,55,71,-16,36,9
"2013/2014",Switzerland Super League,FC Lausanne-Sports,24,7,3,26,38,71,-33,36,10
"2014/2015",Belgium Jupiler League,Club Brugge KV,61,17,10,3,69,28,41,30,1
"2014/2015",Belgium Jupiler League,KAA Gent,57,16,9,5,52,29,23,30,2
"2014/2015",Belgium Jupiler League,RSC Anderlecht,57,16,9,5,51,30,21,30,3
"2014/2015",Belgium Jupiler League,Standard de Liège,53,16,5,9,49,39,10,30,4
"2014/2015",Belgium Jupiler League,KV Kortrijk,51,16,3,11,54,35,19,30,5
"2014/2015",Belgium Jupiler League,Sporting Charleroi,49,14,7,9,44,31,13,30,6
"2014/2015",Belgium Jupiler League,KRC Genk,49,13,10,7,38,28,10,30,7
"2014/2015",Belgium Jupiler League,Sporting Lokeren,42,10,12,8,38,32,6,30,8
"2014/2015",Belgium Jupiler League,KV Mechelen,41,10,11,9,37,39,-2,30,9
"2014/2015",Belgium Jupiler League,KV Oostende,38,11,5,14,40,52,-12,30,10
"2014/2015",Belgium Jupiler League,KVC Westerlo,33,8,9,13,42,63,-21,30,11
"2014/2015",Belgium Jupiler League,SV Zulte-Waregem,31,8,7,15,41,54,-13,30,12
"2014/2015",Belgium Jupiler League,Waasland-Beveren,26,7,5,18,30,49,-19,30,13
"2014/2015",Belgium Jupiler League,Royal Excel Mouscron,26,7,5,18,32,51,-19,30,13
"2014/2015",Belgium Jupiler League,KSV Cercle Brugge,24,6,6,18,21,45,-24,30,15
"2014/2015",Belgium Jupiler League,Lierse SK,22,5,7,18,30,63,-33,30,16
"2014/2015",England Premier League,Chelsea,87,26,9,3,73,32,41,38,1
"2014/2015",England Premier League,Manchester City,79,24,7,7,83,38,45,38,2
"2014/2015",England Premier League,Arsenal,75,22,9,7,71,36,35,38,3
"2014/2015",England Premier League,Manchester United,70,20,10,8,62,37,25,38,4
"2014/2015",England Premier League,Tottenham Hotspur,64,19,7,12,58,53,5,38,5
"2014/2015",England Premier League,Liverpool,62,18,8,12,52,48,4,38,6
"2014/2015",England Premier League,Southampton,60,18,6,14,54,33,21,38,7
"2014/2015",England Premier League,Swansea City,56,16,8,14,46,49,-3,38,8
"2014/2015",England Premier League,Stoke City,54,15,9,14,48,45,3,38,9
"2014/2015",England Premier League,Crystal Palace,48,13,9,16,47,51,-4,38,10
"2014/2015",England Premier League,Everton,47,12,11,15,48,50,-2,38,11
"2014/2015",England Premier League,West Ham United,47,12,11,15,44,47,-3,38,12
"2014/2015",England Premier League,West Bromwich Albion,44,11,11,16,38,51,-13,38,13
"2014/2015",England Premier League,Leicester City,41,11,8,19,46,55,-9,38,14
"2014/2015",England Premier League,Newcastle United,39,10,9,19,40,63,-23,38,15
"2014/2015",England Premier League,Sunderland,38,7,17,14,31,53,-22,38,16
"2014/2015",England Premier League,Aston Villa,38,10,8,20,31,57,-26,38,17
"2014/2015",England Premier League,Hull City,35,8,11,19,33,51,-18,38,18
"2014/2015",England Premier League,Burnley,33,7,12,19,28,53,-25,38,19
"2014/2015",England Premier League,Queens Park Rangers,30,8,6,24,42,73,-31,38,20
"2014/2015",France Ligue 1,Paris Saint-Germain,83,24,11,3,83,36,47,38,1
"2014/2015",France Ligue 1,Olympique Lyonnais,75,22,9,7,72,33,39,38,2
"2014/2015",France Ligue 1,AS Monaco,71,20,11,7,51,26,25,38,3
"2014/2015",France Ligue 1,Olympique de Marseille,69,21,6,11,76,42,34,38,4
"2014/2015",France Ligue 1,AS Saint-Étienne,69,19,12,7,51,30,21,38,5
"2014/2015",France Ligue 1,Girondins de Bordeaux,63,17,12,9,47,44,3,38,6
"2014/2015",France Ligue 1,Montpellier Hérault SC,56,16,8,14,46,39,7,38,7
"2014/2015",France Ligue 1,LOSC Lille,56,16,8,14,43,42,1,38,8
"2014/2015",France Ligue 1,Stade Rennais FC,50,13,11,14,35,42,-7,38,9
"2014/2015",France Ligue 1,En Avant de Guingamp,49,15,4,19,41,55,-14,38,10
"2014/2015",France Ligue 1,OGC Nice,48,13,9,16,44,53,-9,38,11
"2014/2015",France Ligue 1,SC Bastia,47,12,11,15,37,46,-9,38,12
"2014/2015",France Ligue 1,SM Caen,46,12,10,16,54,55,-1,38,13
"2014/2015",France Ligue 1,FC Nantes,45,11,12,15,29,40,-11,38,14
"2014/2015",France Ligue 1,Stade de Reims,44,12,8,18,47,66,-19,38,15
"2014/2015",France Ligue 1,FC Lorient,43,12,7,19,44,50,-6,38,16
"2014/2015",France Ligue 1,Toulouse FC,42,12,6,20,43,64,-21,38,17
"2014/2015",France Ligue 1,Évian Thonon Gaillard FC,37,11,4,23,41,62,-21,38,18
"2014/2015",France Ligue 1,FC Metz,30,7,9,22,31,61,-30,38,19
"2014/2015",France Ligue 1,RC Lens,29,7,8,23,32,61,-29,38,20
"2014/2015",Germany 1. Bundesliga,FC Bayern Munich,79,25,4,5,80,18,62,34,1
"2014/2015",Germany 1. Bundesliga,VfL Wolfsburg,69,20,9,5,72,38,34,34,2
"2014/2015",Germany 1. Bundesliga,Borussia Mönchengladbach,66,19,9,6,53,26,27,34,3
"2014/2015",Germany 1. Bundesliga,Bayer 04 Leverkusen,61,17,10,7,62,37,25,34,4
"2014/2015",Germany 1. Bundesliga,FC Augsburg,49,15,4,15,43,43,0,34,5
"2014/2015",Germany 1. Bundesliga,FC Schalke 04,48,13,9,12,42,40,2,34,6
"2014/2015",Germany 1. Bundesliga,Borussia Dortmund,46,13,7,14,47,42,5,34,7
"2014/2015",Germany 1. Bundesliga,TSG 1899 Hoffenheim,44,12,8,14,49,55,-6,34,8
"2014/2015",Germany 1. Bundesliga,Eintracht Frankfurt,43,11,10,13,56,62,-6,34,9
"2014/2015",Germany 1. Bundesliga,SV Werder Bremen,43,11,10,13,50,65,-15,34,10
"2014/2015",Germany 1. Bundesliga,"1. FSV Mainz 05",40,9,13,12,45,47,-2,34,11
"2014/2015",Germany 1. Bundesliga,"1. FC Köln",40,9,13,12,34,40,-6,34,12
"2014/2015",Germany 1. Bundesliga,Hannover 96,37,9,10,15,40,56,-16,34,13
"2014/2015",Germany 1. Bundesliga,VfB Stuttgart,36,9,9,16,42,60,-18,34,14
"2014/2015",Germany 1. Bundesliga,Hertha BSC Berlin,35,9,8,17,36,52,-16,34,15
"2014/2015",Germany 1. Bundesliga,Hamburger SV,35,9,8,17,25,50,-25,34,16
"2014/2015",Germany 1. Bundesliga,SC Freiburg,34,7,13,14,36,47,-11,34,17
"2014/2015",Germany 1. Bundesliga,SC Paderborn 07,31,7,10,17,31,65,-34,34,18
"2014/2015",Italy Serie A,Juventus,87,26,9,3,72,24,48,38,1
"2014/2015",Italy Serie A,Roma,70,19,13,6,54,31,23,38,2
"2014/2015",Italy Serie A,Lazio,66,20,6,11,67,36,31,37,3
"2014/2015",Italy Serie A,Fiorentina,64,18,10,10,61,46,15,38,4
"2014/2015",Italy Serie A,Napoli,63,18,9,10,68,50,18,37,5
"2014/2015",Italy Serie A,Genoa,59,16,11,11,62,47,15,38,6
"2014/2015",Italy Serie A,Sampdoria,56,13,17,8,48,42,6,38,7
"2014/2015",Italy Serie A,Inter,55,14,13,11,59,48,11,38,8
"2014/2015",Italy Serie A,Torino,54,14,12,12,48,45,3,38,9
"2014/2015",Italy Serie A,Milan,52,13,13,12,56,50,6,38,10
"2014/2015",Italy Serie A,Palermo,49,12,13,13,53,55,-2,38,11
"2014/2015",Italy Serie A,Sassuolo,49,12,13,13,49,57,-8,38,12
"2014/2015",Italy Serie A,Hellas Verona,46,11,13,14,49,65,-16,38,13
"2014/2015",Italy Serie A,Chievo Verona,43,10,13,15,28,41,-13,38,14
"2014/2015",Italy Serie A,Empoli,42,8,18,12,46,52,-6,38,15
"2014/2015",Italy Serie A,Udinese,41,10,11,17,43,56,-13,38,16
"2014/2015",Italy Serie A,Atalanta,37,7,16,15,38,57,-19,38,17
"2014/2015",Italy Serie A,Cagliari,34,8,10,20,48,68,-20,38,18
"2014/2015",Italy Serie A,Parma,26,6,8,24,33,75,-42,38,19
"2014/2015",Italy Serie A,Cesena,24,4,12,22,36,73,-37,38,20
"2014/2015",Netherlands Eredivisie,PSV,88,29,1,4,92,31,61,34,1
"2014/2015",Netherlands Eredivisie,Ajax,71,21,8,5,69,29,40,34,2
"2014/2015",Netherlands Eredivisie,AZ,62,19,5,10,63,56,7,34,3
"2014/2015",Netherlands Eredivisie,Feyenoord,59,17,8,9,56,39,17,34,4
"2014/2015",Netherlands Eredivisie,Vitesse,58,16,10,8,66,43,23,34,5
"2014/2015",Netherlands Eredivisie,PEC Zwolle,53,16,5,13,59,43,16,34,6
"2014/2015",Netherlands Eredivisie,SC Heerenveen,50,13,11,10,53,46,7,34,7
"2014/2015",Netherlands Eredivisie,FC Twente,49,13,10,11,56,51,5,34,8
"2014/2015",Netherlands Eredivisie,Willem II,46,13,7,14,46,50,-4,34,9
"2014/2015",Netherlands Eredivisie,FC Groningen,46,11,13,10,49,53,-4,34,9
"2014/2015",Netherlands Eredivisie,FC Utrecht,41,11,8,15,60,62,-2,34,11
"2014/2015",Netherlands Eredivisie,SC Cambuur,41,11,8,15,46,56,-10,34,12
"2014/2015",Netherlands Eredivisie,ADO Den Haag,37,9,10,15,44,53,-9,34,13
"2014/2015",Netherlands Eredivisie,Heracles Almelo,37,11,4,19,47,64,-17,34,14
"2014/2015",Netherlands Eredivisie,Excelsior,32,6,14,14,47,63,-16,34,15
"2014/2015",Netherlands Eredivisie,NAC Breda,28,6,10,18,36,68,-32,34,16
"2014/2015",Netherlands Eredivisie,Go Ahead Eagles,27,7,6,21,29,59,-30,34,17
"2014/2015",Netherlands Eredivisie,FC Dordrecht,20,4,8,22,24,76,-52,34,18
"2014/2015",Poland Ekstraklasa,Legia Warszawa,56,17,5,8,57,30,27,30,1
"2014/2015",Poland Ekstraklasa,Lech Poznań,54,14,12,4,52,27,25,30,2
"2014/2015",Poland Ekstraklasa,Jagiellonia Białystok,49,14,7,9,43,35,8,30,3
"2014/2015",Poland Ekstraklasa,Śląsk Wrocław,46,12,10,8,43,36,7,30,4
"2014/2015",Poland Ekstraklasa,Wisła Kraków,43,11,10,9,47,39,8,30,5
"2014/2015",Poland Ekstraklasa,Polonia Bytom,43,11,10,9,43,43,0,30,6
"2014/2015",Poland Ekstraklasa,Pogoń Szczecin,41,11,8,11,40,38,2,30,7
"2014/2015",Poland Ekstraklasa,Lechia Gdańsk,41,11,8,11,36,37,-1,30,8
"2014/2015",Poland Ekstraklasa,Piast Gliwice,39,11,6,13,38,43,-5,30,9
"2014/2015",Poland Ekstraklasa,Podbeskidzie Bielsko-Biała,39,10,9,11,40,48,-8,30,10
"2014/2015",Poland Ekstraklasa,Korona Kielce,39,10,9,11,34,42,-8,30,10
"2014/2015",Poland Ekstraklasa,Cracovia,37,10,7,13,35,41,-6,30,12
"2014/2015",Poland Ekstraklasa,Górnik Łęczna,34,8,10,12,31,37,-6,30,13
"2014/2015",Poland Ekstraklasa,Ruch Chorzów,33,8,9,13,33,38,-5,30,14
"2014/2015",Poland Ekstraklasa,GKS Bełchatów,31,8,7,15,24,42,-18,30,15
"2014/2015",Poland Ekstraklasa,Zawisza Bydgoszcz,29,8,5,17,32,52,-20,30,16
"2014/2015",Portugal Liga ZON Sagres,SL Benfica,85,27,4,3,86,16,70,34,1
"2014/2015",Portugal Liga ZON Sagres,FC Porto,82,25,7,2,74,13,61,34,2
"2014/2015",Portugal Liga ZON Sagres,Sporting CP,76,22,10,2,67,29,38,34,3
"2014/2015",Portugal Liga ZON Sagres,SC Braga,58,17,7,10,55,28,27,34,4
"2014/2015",Portugal Liga ZON Sagres,Vitória Guimarães,55,15,10,9,50,35,15,34,5
"2014/2015",Portugal Liga ZON Sagres,CF Os Belenenses,48,12,12,10,34,35,-1,34,6
"2014/2015",Portugal Liga ZON Sagres,CD Nacional,47,13,8,13,45,46,-1,34,7
"2014/2015",Portugal Liga ZON Sagres,FC Paços de Ferreira,47,12,11,11,40,45,-5,34,8
"2014/2015",Portugal Liga ZON Sagres,CS Marítimo,44,12,8,14,46,45,1,34,9
